T_mu,σ,ω₀,n_B,P,ϵ
"(15.126050420168067, 460.1118481127528)",92.99999999999481,9.033531637326029e-14,1.0259988166235407e-15,1.1915667682370391e-11,-1.1443593470692236e-11
"(16.134453781512605, 460.1118481127528)",92.99999999999402,0.0,8.192286800343e-15,8.067899993271618e-12,-4.298531773296092e-12
"(17.142857142857142, 460.1118481127528)",92.99999999998542,4.536519795142041e-12,5.152429999993605e-14,8.812629223419768e-12,1.4894311672266716e-11
"(18.15126050420168, 460.1118481127528)",92.99999999999402,0.0,2.6552748056342453e-13,1.2784518450876565e-11,1.0938782135588374e-10
"(19.159663865546218, 460.1118481127528)",92.99999999999402,0.0,1.1567627553024812e-12,3.016153382100005e-11,5.020787153492245e-10
"(20.16806722689076, 460.1118481127528)",92.99999999999402,0.0,4.367827026115404e-12,9.607007068911128e-11,1.913618894533676e-9
"(21.176470588235297, 460.1118481127528)",92.9999999962008,1.2843254851986089e-9,1.458694651082396e-11,3.129103982005808e-10,6.398716519216502e-9
"(22.18487394957983, 460.1118481127528)",92.99999998861563,3.857024375933166e-9,4.380681448044241e-11,9.798154237982487e-10,1.9176218946730607e-8
"(23.19327731092437, 460.1118481127528)",92.99999996889414,1.0559962509790562e-8,1.1993658154561742e-10,2.7896315745966098e-9,5.2394610616683305e-8
"(24.201680672268907, 460.1118481127528)",92.99999992157338,2.6660739344313248e-8,3.028039100965472e-10,7.328383867734506e-9,1.3199528282255568e-7
"(25.210084033613445, 460.1118481127528)",92.99999981595083,6.266982700998709e-8,7.117832862240432e-10,1.7952070457336216e-8,3.095478528229768e-7
"(26.218487394957982, 460.1118481127528)",92.99999959452423,1.3827989697999847e-7,1.5705375965927129e-9,4.117707210719804e-8,6.81445883991636e-7
"(27.22689075630252, 460.1118481127528)",92.9999991556442,2.883968977017627e-7,3.275517124859677e-9,8.919013793946432e-8,1.4179140999046922e-6
"(28.235294117647058, 460.1118481127528)",92.99999832815611,5.719282464531106e-7,6.495772944768128e-9,1.834179967562658e-7,2.8053640977818156e-6
"(29.243697478991596, 460.1118481127528)",92.99999683610046,1.0840408349338737e-6,1.2312179316650197e-8,3.60053620292034e-7,5.304925959387498e-6
"(30.252100840336134, 460.1118481127528)",92.99999425168082,1.9726078089034364e-6,2.2404230801999793e-8,6.777830372193651e-7,9.630669002633421e-6
"(31.260504201680675, 460.1118481127528)",92.99998993438629,3.4595246787189425e-6,3.9292143637168856e-8,1.228296193260254e-6,1.685048463194925e-5
"(32.26890756302521, 460.1118481127528)",92.99998295488523,5.867493268095939e-6,6.664105901553626e-8,2.1504382960173695e-6,2.851190252781205e-5
"(33.27731092436975, 460.1118481127528)",92.99997200220565,9.652751409931073e-6,1.0963277621031891e-7,3.6482764496112955e-6,4.679506282625038e-5
"(34.285714285714285, 460.1118481127528)",92.9999552742127,1.5444075339463533e-5,1.7540872892581447e-7,6.014002560938353e-6,7.469363188022703e-5
"(35.294117647058826, 460.1118481127528)",92.99993034874052,2.4088210514517043e-5,2.735859736356192e-7,9.655933917508786e-6,0.00011622421402970282
"(36.30252100840336, 460.1118481127528)",92.99989404236351,3.670170588302208e-5,4.1684590607347513e-7,1.5132458814607685e-5,0.00017666328140709394
"(37.3109243697479, 460.1118481127528)",92.99984224319209,5.4728946993347924e-5,6.215933823513341e-7,2.3191995870989357e-5,0.00026281048405733993
