T_mu,σ,ω₀,n_B,P,ϵ
"(72.60504201680672, 538.9971164872729)",92.3624262625394,0.2503055105095804,0.0028428876911085524,0.20279611879397538,1.3295121492106954
"(73.61344537815127, 538.9971164872729)",92.30029524795201,0.27685262811257455,0.0031444011193392995,0.22713613890929185,1.467686997493944
"(74.6218487394958, 538.9971164872729)",92.23406340072827,0.30553324199709214,0.0034701460884149107,0.2537756779252854,1.6166230575199407
"(75.63025210084034, 538.9971164872729)",92.16362070118599,0.3364620785273602,0.0038214256519873645,0.2828727600996521,1.7768646471920344
"(76.63865546218487, 538.9971164872729)",92.0888637209085,0.36975634771031307,0.004199571007901611,0.3145919780863409,1.9489646856561773
"(77.64705882352942, 538.9971164872729)",92.00969497885,0.40553557917163746,0.004605939751373489,0.3491045333016153,2.1334837114028025
"(78.65546218487395, 538.9971164872729)",91.92602335501184,0.4439214251952444,0.005041913564034113,0.3865882638191282,2.330988608773328
"(79.66386554621849, 538.9971164872729)",91.83776381317213,0.4850374574257277,0.005508895937081079,0.4272276595261545,2.5420513655890007
"(80.67226890756304, 538.9971164872729)",91.7448373119324,0.5290089453098283,0.006008309636382766,0.47121386406646565,2.7672477049065405
"(81.68067226890757, 538.9971164872729)",91.64717050828735,0.5759626246899331,0.006541594086657843,0.5187446634654594,3.0071556864733138
"(82.6890756302521, 538.9971164872729)",91.54469548488974,0.6260264544421446,0.007110202601576097,0.5700244613949715,3.2623542384948507
"(83.69747899159664, 538.9971164872729)",91.4373493926438,0.6793293654369924,0.007715599535547468,0.6252642412113238,3.533421660419304
"(84.70588235294119, 538.9971164872729)",91.3250740666967,0.736001003104086,0.008359257359649347,0.6846815148785665,3.820934097947446
"(85.71428571428572, 538.9971164872729)",91.20781561509543,0.796171466124258,0.009042653691476837,0.7485002593908193,4.12546400570819
"(86.72268907563026, 538.9971164872729)",91.08552397152734,0.8599710441209326,0.009767268317887181,0.8169508409845296,4.447578618314157
"(87.73109243697479, 538.9971164872729)",90.95815244087187,0.9275299563169643,0.010534580225887154,0.8902699279466908,4.787838437210329
"(88.73949579831933, 538.9971164872729)",90.82565723185874,0.9989780939645713,0.011346064677814658,0.9687003928405828,5.146795751979616
"(89.74789915966386, 538.9971164872729)",90.68799699134742,1.074444768729496,0.012203190352371496,1.0524912048274835,5.52499320704606
"(90.7563025210084, 538.9971164872729)",90.5451323344376,1.1540584697292913,0.01310741658737514,1.1418973134133177,5.922962431779335
"(91.76470588235293, 538.9971164872729)",90.39702539166444,1.2379466309127034,0.014060190735535561,1.2371795243637356,6.341222739351001
"(92.77310924369748, 538.9971164872729)",90.24363936176566,1.3262354113260164,0.015062945669690487,1.3386043691924245,6.780279912575201
"(93.78151260504201, 538.9971164872729)",90.08493805692795,1.4190493911344892,0.016117097599302344,1.446443969332676,7.240625162835237
"(94.78991596638654, 538.9971164872729)",89.92088561760035,1.516511875986826,0.017224043183439827,1.5609758962834421,7.722733713842894
"(95.7983193277311, 538.9971164872729)",89.75144549162141,1.6187435586233112,0.018385159791975865,1.6824830289530999,8.227065085079643
"(96.80672268907563, 538.9971164872729)",89.57658217927722,1.7258640979773268,0.019601798898441245,1.8112534095111514,8.754059674712083
"(97.81512605042016, 538.9971164872729)",89.39625721044206,1.8379904588911546,0.020875291210107547,1.9475800990807994,9.304141668999284
